Heads,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23
Total income from continuing operations,39178.2,48220,50585.5,51126.1,53880,64600,61590,66830,78570,78060
Net sales,36824.9,46812,48679.9,48507.5,51700,59710,58530,63370,75000,74780
Export income,,,,,,,,,,
Other & extraordinary income,2353.3,1408,1905.6,2618.6,2180,4890,3060,3460,3570,3280
Other income,2353.3,1408,1905.6,2618.6,2180,3010,3060,3460,3570,3280
Profit on sale of investments,,,,,,,,,,
Extraordinary income,,,,,,1880,,,,
Profit on sale of assets,,,,,,,,,,
Tax refunds,,,,,,1880,,,,
Provisions written back,,,,,,,,,,
Other extraordinary income,,,,,,,,,,
Change in stock,-241.5,948.7,-370.6,474.4,2220,1010,-1380,-560,860,-1760
Total expenses,33164.7,43717,43302.3,43173.5,48920,54320,50140,55210,67800,64510
Operating expenses,30997.8,41141.1,40017.6,39416.4,44770,50620,46140,51270,63950,59930
"Raw materials, etc & purch of fin gds",19805.8,28106,25725.4,25165.8,30880,35720,30680,36200,47770,42880
"Raw materials, stores & spares",18421.6,26758.9,24925.9,23471.4,30150,34630,29300,33530,43670,38220
Purchase of finished goods,1384.2,1347.1,799.5,1694.4,730,1090,1380,2670,4100,4660
Salaries and wages,1722.9,1971.7,2282,2509.2,2740,3070,3270,3740,3720,4090
VRS expenses,,,,,,,190,,,
Total other expenses,9469.1,11063.4,12010.2,11741.4,11150,11830,12190,11330,12460,12960
Power & fuel,,,,,,,,,,
"Royalties, technical know-how fees, etc",,,,,,,,,,
Rent & lease rent,,,,,,,,,,
Rent,,,,,,,,,,
Lease rent,,,,,,,,,,
Advertising expenses,4097.1,4805.2,5114.9,4589.9,4400,4820,5020,4160,4670,4620
Marketing expenses,,,,,,,,,,
Outward freight/other dist expenses,,,,,,,,,,
Travel expenses,,,,,,,,,,
Network cost,,,,,,,,,,
Regulatory charges,,,,,,,,,,
Access charges,,,,,,,,,,
Loss on sale of investments,,,,,,,,,,
Other expenses,5372,6258.2,6895.3,7151.5,6750,7010,7170,7170,7790,8340
Extraordinary expenses,,,,,1040,,,600,,
Impaired assets,,,,,,,,600,,
Loss on sale of assets,,,,,,,,,,
Other extraordinary expenses,,,,,1040,,,,,
PBDIT,7938.9,8027.6,10197.3,12184.1,10290,14990,14070,14400,15400,16370
Interest expenses,304.3,169.7,151.7,125.9,80,240,330,220,300,360
Depreciation,462,547.5,688.2,641,670,1040,1130,1070,970,1090
Other provisions and contingencies,,,,,,,,,80,
PBT,7172.6,7310.4,9357.4,11417.2,9540,13710,12610,13110,14130,14920
Total tax provision,1400.6,1858.7,2444.8,2990.2,2360,2420,2540,2050,2500,3130
Corporate tax/direct taxes,1400.6,1858.7,2444.8,2435.2,2300,2600,2610,2330,2460,2590
Fringe benefit tax,,,,,,,,,,
Deferred taxes (Debit),,,,555,60,,,,40,540
Less: Deferred taxes (Credit),,,,,,180,70,280,,
Net Profit /(Loss) for the period from continuing operations (after tax),5772,5451.7,6912.6,8427,7180,11290,10070,11060,11630,11790
Profit/(Loss) from Discontinued operations (after tax),,,,,,,,,,
Income from discontinued operations,,,,,,,,,,
Expenses incurred on discontinued operations,,,,,,,,,,
Tax expense of discontinued operations,,,,,,,,,,
Profit/(Loss) on disposal of discontinued operations (after tax),,,,,,,,,,
Net profit (PAT),5772,5451.7,6912.6,8427,7180,11290,10070,11060,11630,11790
,,,,,,,,,,
Paid up capital,644.9,645,1290.2,1290.5,1290,1290,1290,1290,1290,1290
Reserves,19226.9,22783.8,24092.5,27951.9,29120,33600,27590,29060,29200,35480
,,,,,,,,,,
Earnings per share - basic (Rs.),8.95,4.23,5.37,6.55,5.58,8.76,7.79,8.57,9.02,9.13
Earnings per share - diluted (Rs.),8.95,4.22,5.37,6.53,5.57,8.76,7.79,8.56,9.01,9.1
,,,,,,,,,,
Investor complaints received (nos.),,,,,,,,,,
Investor complaints settled (nos.),,,,,,,,,,
Investor complaints outstanding (nos.),,,,,,,,,,
,,,,,,,,,,
Dividend rate (%),,,,,,,,,,
,,,,,,,,,,
Addendum Information,,,,,,,,,,
Gross sales,,,,48688.8,51810,,,,,
Indirect taxes,,,,181.3,110,,,,,
Total income net of P&E,39178.2,48220,50585.5,51126.1,53880,62720,61590,66830,78570,78060
Total expenses net of P&E,33164.7,43717,43302.3,43173.5,47880,54320,50140,54610,67800,64510
Total expenses net of P&E & change in stocks,33406.2,42768.3,43672.9,42699.1,45660,53310,51520,55170,66940,66270
PBDIT net of P&E&OI(operating profit),5585.6,6619.6,8291.7,9565.5,9150,10100,11010,11540,11830,13090
PAT net of P&E,5772,5451.7,6912.6,8427,8220,9410,10070,11660,11630,11790
