Heads,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23
Liabilities,,,,,,,,,,
Shareholders' funds,32770.5,37247.8,62791.3,64900,70750,76590,80310,474340,487600,502210
Capital,2162.7,2163.5,2163.9,2160,2160,2160,2160,2350,2350,2350
Reserves and surplus,30607.8,35084.3,60627.4,62740,68590,74430,78150,471990,485250,499860
Borrowings,,,,,,,,9430,9710,10390
Secured borrowings,,,,,,,,,,
Unsecured borrowings,,,,,,,,,,
Other long term liabilities,2788.2,1701.1,3949.9,5740,6660,3600,8530,2660,3290,4950
Current liabilities & provisions,94425.3,97391.7,72454.5,76870,94080,98460,107180,134870,135360,137450
Current liabilities,65351.7,61969.5,63617.8,68150,79850,78520,86860,100860,103250,109550
Provisions,29073.6,35422.2,8836.7,8720,14230,19940,20320,34010,32110,27900
Deferred tax liability,,,,,,,,59860,61410,63250
,,,,,,,,,,
Assets,,,,,,,,,,
Net fixed assets,27418.4,29365.4,29147.3,40240,41420,43430,50560,510270,510340,514050
Net pre-operative expenses pending allocation,,,,,,,,,,
Capital work-in-progress,,,6995.2,2030,4300,3730,5130,6230,9010,10200
Investments,30941.2,32779.3,24660.9,37790,31110,29490,15000,29950,41220,37940
Other non-current assets,6.8,4.4,1733.2,760,840,1650,1430,9290,8950,9140
Current assets & loans and advances,70000.3,72231.9,74768.9,64370,91110,96920,121110,125250,127720,146800
Current assets,58657.4,59824.6,70687.3,57740,82680,86770,106420,109060,110900,131910
Inventories,27475.3,26026.8,25283.6,23620,23590,24220,26360,33830,38900,40310
Sundry debtors & bills receivable,8164.3,7829.4,10645.2,9280,11470,16730,10460,16480,19320,27350
Cash and bank balances,22209.7,25375.6,7392.2,16710,33730,36880,50170,43210,36180,44220
Other current assets,808.1,592.8,27366.3,8130,13890,8940,19430,15540,16500,20030
Loans and advances,11342.9,12407.3,4081.6,6630,8430,10150,14690,16190,16820,14890
Other assets,,,218.4,720,160,40,180,170,130,120
Deferred tax assets,1617.3,1959.6,1671.8,1600,2550,3390,2610,,,
Miscellaneous expenditure (not written off or adjusted),,,,,,,,,,
,,,,,,,,,,
Net current assets & loans and advances,-24425,-25159.8,2314.4,-12500,-2970,-1540,13930,-9620,-7640,9350
